Condition,Description,FK_OrderID,FK_SupplierID,ProductID,ProductName,Price,Quantity
New,Collapsible pet carrier,200513,500258,300599,Pet Carrier,59.35,10
Certified Refurbished,Digital kitchen timer,200453,500067,300600,Kitchen Timer,1027.25,17
Used - Like New,Stainless steel kitchen tongs,200576,500264,300601,Kitchen Tongs,930.12,8
Used - Good,Lightweight sleeping bag,200087,500127,300602,Sleeping Bag,2972.88,19
Used - Very Good,Premium cast iron skillet,200127,500255,300603,Cast Iron Skillet,788.81,6
Used - Like New,Durable cargo pants,200235,500112,300604,Cargo Pants,2286.70,13
Used - Like New,Luxurious bathrobe,200625,500139,300605,Bathrobe,873.67,3
Pre-Owned,Travel-sized toiletries kit,200261,500280,300606,Toiletries Kit,2808.45,18
Pre-Owned,Heavy-duty bike lock,200439,500215,300607,Bike Lock,1417.03,4
New,Portable camping stove,200382,500001,300608,Camping Stove,2945.76,10
Refurbished,Advanced car vacuum cleaner,200508,500177,300609,Car Vacuum,605.11,16
New,Compact coffee grinder,200322,500223,300610,Coffee Grinder,907.10,1
Pre-Owned,Elegant tea set,200324,500195,300611,Tea Set,1718.20,9
Certified Refurbished,Modern smartphone stand,200107,500245,300612,Smartphone Stand,1967.64,9
Open Box,Reusable food storage bags,200717,500265,300613,Food Storage Bags,2159.66,11
Used - Very Good,Premium quality umbrella,200333,500237,300614,Umbrella,1002.75,12
New,Ultra-light hiking tent,200437,500038,300615,Hiking Tent,1733.01,16
Open Box,Stylish beach hat,200772,500174,300616,Beach Hat,638.48,4
Used - Good,Durable work gloves,200782,500289,300617,Work Gloves,1154.10,2
Used - Good,Advanced video doorbell,200479,500287,300618,Video Doorbell,1783.18,6
Certified Refurbished,Space-saving shoe organizer,200476,500023,300619,Shoe Organizer,2536.16,6
Used - Good,Portable electric kettle,200671,500106,300620,Electric Kettle,2326.95,10
Certified Refurbished,Soft sherpa fleece blanket,200510,500194,300621,Sherpa Fleece Blanket,337.65,8
Used - Good,Sophisticated whiskey glasses,200015,500165,300622,Whiskey Glasses,1524.00,10
Refurbished,Eco-friendly reusable straws,200545,500085,300623,Reusable Straws,2145.77,10
Used - Like New,Lightweight portable hammock,200598,500138,300624,Portable Hammock,2232.02,3
Open Box,Minimalist desk organizer,200620,500280,300625,Desk Organizer,911.03,16
Used - Good,Advanced robotic vacuum,200621,500225,300626,Robotic Vacuum,341.61,2
Open Box,Sturdy wall-mounted shelf,200466,500264,300627,Wall Shelf,2767.92,6
Open Box,Portable projector,200686,500117,300628,Portable Projector,528.15,19
Used - Like New,Soft travel neck pillow,200558,500066,300629,Travel Neck Pillow,636.42,5
Used - Good,Foldable picnic blanket,200668,500069,300630,Picnic Blanket,1230.78,3
Open Box,Digital meat thermometer,200390,500204,300631,Meat Thermometer,2854.03,18
Used - Like New,Rechargeable book light,200502,500159,300632,Book Light,1847.18,3
Used - Acceptable,Elegant leather handbag,200004,500265,300633,Leather Handbag,1502.07,7
Pre-Owned,Durable hiking boots,200712,500132,300634,Hiking Boots,1227.88,13
Pre-Owned,Comfortable wool socks,200002,500278,300635,Wool Socks,1025.42,4
Used - Acceptable,Stylish denim jacket,200019,500083,300636,Denim Jacket,2496.42,5
Used - Very Good,Compact photo printer,200063,500015,300637,Photo Printer,2779.28,7
New,Adjustable resistance bands,200400,500183,300638,Resistance Bands,1934.17,15
Used - Acceptable,Premium cotton duvet cover,200149,500067,300639,Cotton Duvet Cover,842.08,16
Refurbished,Versatile multi-tool,200281,500223,300640,Multi-Tool,72.97,10
Open Box,Modern floor lamp,200040,500113,300641,Floor Lamp,1491.03,12
Open Box,Luxurious cashmere scarf,200157,500009,300642,Cashmere Scarf,2130.30,4
New,Portable espresso machine,200239,500178,300643,Espresso Machine,2818.37,17
Open Box,Waterproof action camera,200069,500173,300644,Action Camera,1914.82,6
Refurbished,Compact air purifier,200768,500246,300645,Air Purifier,1655.76,19
Used - Good,Durable bike helmet,200474,500257,300646,Bike Helmet,539.91,6
Used - Acceptable,Soft bamboo sheets,200193,500072,300647,Bamboo Sheets,1495.84,2
Certified Refurbished,High-performance gym bag,200360,500292,300648,Gym Bag,2681.08,11
Pre-Owned,Advanced hair dryer,200642,500036,300649,Hair Dryer,2437.05,8
Open Box,Energy-efficient space heater,200673,500024,300650,Space Heater,546.61,5
Certified Refurbished,Sophisticated cocktail shaker,200144,500180,300651,Cocktail Shaker,826.97,15
Used - Like New,Eco-friendly laundry detergent,200348,500088,300652,Laundry Detergent,2530.18,2
Open Box,Durable BBQ grill cover,200684,500185,300653,BBQ Grill Cover,1141.43,18
Open Box,Compact spice rack,200093,500260,300654,Spice Rack,311.59,1
Used - Good,Stylish patio furniture,200043,500296,300655,Patio Furniture,238.67,14
Used - Acceptable,Premium soundbar speaker,200538,500017,300656,Soundbar,2225.78,12
Certified Refurbished,Advanced pet grooming kit,200258,500171,300657,Pet Grooming Kit,2175.95,12
Used - Good,High-quality baby stroller,200561,500132,300658,Baby Stroller,1939.65,7
Used - Acceptable,Elegant dining table set,200615,500145,300659,Dining Table Set,972.66,14
Open Box,Soft organic baby blanket,200511,500061,300660,Baby Blanket,569.47,8
Certified Refurbished,Lightweight power drill,200171,500183,300661,Power Drill,2820.57,11
Used - Like New,Heavy-duty dog leash,200228,500203,300662,Dog Leash,2737.98,16
Open Box,Minimalist table clock,200027,500148,300663,Table Clock,85.64,13
Refurbished,Advanced gaming keyboard,200589,500096,300664,Gaming Keyboard,1618.31,5
Pre-Owned,Foldable treadmill,200737,500084,300665,Treadmill,2025.90,10
Refurbished,Multi-functional waffle maker,200296,500042,300666,Waffle Maker,2597.24,13
Used - Good,Premium travel pillow,200798,500149,300667,Travel Pillow,750.02,16
Pre-Owned,Durable outdoor jacket,200799,500251,300668,Outdoor Jacket,82.97,17
Used - Acceptable,Adjustable TV wall mount,200357,500189,300669,TV Wall Mount,1149.33,13
Used - Good,Waterproof travel bag,200325,500254,300670,Travel Bag,107.46,1
Used - Acceptable,High-speed internet router,200799,500098,300671,Internet Router,865.78,4
Refurbished,Space-saving closet organizer,200227,500255,300672,Closet Organizer,1258.11,19
Refurbished,Advanced sewing kit,200791,500276,300673,Sewing Kit,2637.39,11
Refurbished,Modern ergonomic sofa,200625,500237,300674,Ergonomic Sofa,861.64,9
Certified Refurbished,Luxurious showerhead,200718,500069,300675,Showerhead,222.33,15
Pre-Owned,Durable cooler bag,200537,500155,300676,Cooler Bag,2464.23,17
Open Box,Elegant bathroom mirror,200452,500003,300677,Bathroom Mirror,456.40,14
Open Box,Premium leather briefcase,200587,500289,300678,Leather Briefcase,1423.69,6
Used - Like New,Comfortable hiking sandals,200591,500096,300679,Hiking Sandals,1021.44,13
Certified Refurbished,Soft wool blanket,200792,500114,300680,Wool Blanket,2955.19,15
New,Portable massage gun,200217,500113,300681,Massage Gun,2939.68,12
Used - Good,Rechargeable lantern,200642,500234,300682,Lantern,2187.58,5
Used - Very Good,Sophisticated wine opener,200375,500183,300683,Wine Opener,2933.99,19
Open Box,Adjustable book stand,200445,500029,300684,Book Stand,874.38,4
Open Box,Premium stainless steel straws,200092,500287,300685,Stainless Steel Straws,1725.34,15
Certified Refurbished,Lightweight trekking poles,200403,500125,300686,Trekking Poles,2098.07,11
Pre-Owned,Versatile garment steamer,200132,500117,300687,Garment Steamer,1177.44,1
Used - Like New,High-quality bread machine,200528,500234,300688,Bread Machine,2481.01,17
Open Box,Durable camping table,200247,500002,300689,Camping Table,634.49,1
Used - Very Good,Elegant table lamp,200025,500081,300690,Table Lamp,2773.62,7
Used - Like New,Portable laptop desk,200321,500153,300691,Laptop Desk,57.85,11
Used - Good,Premium pet bed,200013,500098,300692,Pet Bed,676.08,18
New,Soft weighted blanket,200187,500103,300693,Weighted Blanket,1838.05,11
New,Compact portable fan,200467,500031,300694,Portable Fan,849.13,11
Used - Good,Waterproof Bluetooth speaker,200737,500103,300695,Bluetooth Speaker,1404.75,20
Pre-Owned,Energy-efficient air conditioner,200481,500062,300696,Air Conditioner,402.35,11
Used - Like New,Minimalist bedside table,200093,500010,300697,Bedside Table,2486.40,8
New,Adjustable bed frame,200543,500076,300698,Bed Frame,2555.27,19
Refurbished,Space-saving laundry basket,200035,500243,300699,Laundry Basket,2035.49,13
Used - Like New,Advanced power inverter,200314,500261,300700,Power Inverter,2507.01,16
Used - Very Good,Heavy-duty snow shovel,200448,500165,300701,Snow Shovel,2776.31,14
Pre-Owned,Comfortable sleeping pad,200794,500265,300702,Sleeping Pad,1365.09,12
Used - Very Good,Luxurious face moisturizer,200583,500227,300703,Face Moisturizer,2048.84,1
Used - Like New,Versatile folding bike,200554,500187,300704,Folding Bike,2793.42,12
Certified Refurbished,High-quality juicer,200782,500100,300705,Juicer,2398.10,14
Used - Like New,Stylish leather phone case,200705,500232,300706,Phone Case,400.16,11
Used - Very Good,Compact makeup mirror,200001,500101,300707,Makeup Mirror,2261.18,10
Pre-Owned,Durable hiking backpack,200457,500061,300708,Hiking Backpack,1356.80,2
Used - Good,Lightweight garden pruner,200368,500251,300709,Garden Pruner,1401.73,8
Used - Like New,Advanced home security camera,200307,500276,300710,Home Security Camera,1338.50,11
Refurbished,Minimalist floating shelf,200159,500292,300711,Floating Shelf,696.14,13
New,Premium smart thermostat,200093,500124,300712,Smart Thermostat,1468.09,11
New,Soft merino wool sweater,200262,500052,300713,Wool Sweater,2218.94,12
Used - Very Good,Portable induction cooktop,200141,500082,300714,Induction Cooktop,2147.54,3
Refurbished,Adjustable baby carrier,200643,500174,300715,Baby Carrier,1930.10,3
New,Stylish leather belt,200623,500032,300716,Leather Belt,1891.73,15
Certified Refurbished,Rechargeable hand blender,200140,500099,300717,Hand Blender,670.84,12
Certified Refurbished,Durable running shoes,200255,500063,300718,Running Shoes,1709.58,4
Used - Very Good,Waterproof camera case,200372,500231,300719,Camera Case,817.61,6
Used - Acceptable,Elegant crystal wine glasses,200570,500079,300720,Crystal Wine Glasses,171.42,10
Used - Acceptable,Comfortable bean bag chair,200708,500243,300721,Bean Bag Chair,414.56,8
Used - Good,Sophisticated dinnerware set,200604,500080,300722,Dinnerware Set,1386.92,6
Certified Refurbished,Compact tool organizer,200327,500241,300723,Tool Organizer,570.02,1
Used - Acceptable,High-speed electric scooter,200707,500000,300724,Electric Scooter,2788.47,6
Used - Acceptable,Advanced programmable coffee maker,200064,500169,300725,Coffee Maker,2426.24,9
Open Box,Premium glass storage containers,200651,500129,300726,Storage Containers,1450.11,7
Used - Very Good,Lightweight travel backpack,200363,500221,300727,Travel Backpack,54.99,5
New,Minimalist desktop clock,200584,500146,300728,Desktop Clock,121.68,5
New,Foldable yoga mat,200353,500224,300729,Yoga Mat,2481.70,9
Open Box,Durable camping tent,200167,500108,300730,Camping Tent,37.38,10
Used - Good,Portable solar charger,200063,500258,300731,Solar Charger,763.12,19
Used - Like New,Soft flannel sheets,200745,500238,300732,Flannel Sheets,294.48,5
Used - Like New,Adjustable shower caddy,200353,500208,300733,Shower Caddy,2996.33,10
Certified Refurbished,Heavy-duty storage box,200453,500235,300734,Storage Box,916.84,8
Used - Acceptable,Stylish wool fedora,200401,500252,300735,Wool Fedora,2027.90,13
Certified Refurbished,High-quality garden gloves,200473,500056,300736,Garden Gloves,697.99,6
Used - Acceptable,Eco-friendly compost bin,200387,500030,300737,Compost Bin,1601.81,18
Refurbished,Elegant silver bracelet,200646,500000,300738,Silver Bracelet,1313.66,17
Refurbished,Portable handheld vacuum,200192,500000,300739,Handheld Vacuum,1412.55,11
New,Waterproof bike panniers,200782,500211,300740,Bike Panniers,1554.52,1
Certified Refurbished,Comfortable lounge chair,200284,500090,300741,Lounge Chair,863.95,4
Certified Refurbished,Premium silk pillowcase,200555,500111,300742,Silk Pillowcase,2994.42,10
Used - Acceptable,Compact air mattress,200167,500008,300743,Air Mattress,614.78,17
Refurbished,Versatile camping lantern,200042,500196,300744,Camping Lantern,2349.15,2
Used - Good,Advanced fitness tracker,200335,500291,300745,Fitness Tracker,2982.77,4
Refurbished,Durable garden rake,200442,500178,300746,Garden Rake,1419.27,19
New,Modern home theater system,200213,500162,300747,Home Theater System,2469.96,14
Pre-Owned,Lightweight utility cart,200390,500109,300748,Utility Cart,2098.24,15
Used - Acceptable,Adjustable pet gate,200110,500157,300749,Pet Gate,1815.50,19
Used - Very Good,Elegant pearl necklace,200087,500264,300750,Pearl Necklace,2239.23,11
New,High-speed USB hub,200293,500175,300751,USB Hub,1213.18,17
Pre-Owned,Premium Bluetooth soundbar,200202,500205,300752,Bluetooth Soundbar,618.04,1
Certified Refurbished,Stylish leather gloves,200298,500132,300753,Leather Gloves,2927.77,17
Used - Good,Heavy-duty extension cord,200466,500273,300754,Extension Cord,1482.01,7
Used - Acceptable,Portable picnic cooler,200170,500132,300755,Picnic Cooler,1473.03,20
Used - Good,Sophisticated travel wallet,200721,500138,300756,Travel Wallet,901.12,20
Used - Acceptable,Lightweight stroller,200015,500066,300757,Stroller,2360.87,14
Used - Acceptable,Durable pet playpen,200394,500152,300758,Pet Playpen,1553.75,13
Used - Like New,Compact tool belt,200375,500283,300759,Tool Belt,2477.66,9
New,Luxurious facial cleanser,200017,500296,300760,Facial Cleanser,706.37,18
Used - Like New,Waterproof hiking shoes,200126,500233,300761,Hiking Shoes,2486.11,18
New,Space-saving drying rack,200203,500171,300762,Drying Rack,425.08,18
Used - Acceptable,Advanced smart door lock,200101,500240,300763,Smart Door Lock,852.99,19
Refurbished,Soft hypoallergenic comforter,200094,500138,300764,Comforter,826.77,18
Used - Like New,Portable water filter,200783,500044,300765,Water Filter,176.40,17
Used - Very Good,High-quality dog bed,200183,500180,300766,Dog Bed,2071.96,7
New,Modern cordless vacuum,200526,500097,300767,Cordless Vacuum,2170.10,11
Used - Very Good,Comfortable walking shoes,200038,500202,300768,Walking Shoes,1900.36,11
Used - Good,Elegant copper cookware,200285,500041,300769,Copper Cookware,2179.67,15
Certified Refurbished,Minimalist photo frame,200712,500117,300770,Photo Frame,1245.57,6
Pre-Owned,Durable weatherproof jacket,200281,500224,300771,Weatherproof Jacket,1763.65,11
Used - Like New,Versatile multi-cooker,200031,500053,300772,Multi-Cooker,2740.75,7
Used - Very Good,Adjustable dumbbell set,200016,500214,300773,Dumbbell Set,1423.97,20
New,Premium herbal tea sampler,200592,500261,300774,Herbal Tea Sampler,1559.11,13
Certified Refurbished,Stylish ceramic flower pot,200741,500265,300775,Ceramic Flower Pot,1694.13,6
Refurbished,Compact gaming monitor,200190,500123,300776,Gaming Monitor,2829.88,4
Used - Very Good,Lightweight workout leggings,200334,500239,300777,Workout Leggings,655.65,10
Refurbished,Foldable laundry hamper,200198,500193,300778,Laundry Hamper,493.34,5
Pre-Owned,Advanced gaming headset,200694,500018,300779,Gaming Headset,642.31,14
Used - Good,Heavy-duty pressure washer,200114,500182,300780,Pressure Washer,1074.25,5
New,Comfortable armchair,200096,500180,300781,Armchair,2218.25,18
Used - Very Good,Sophisticated home decor set,200690,500271,300782,Home Decor Set,1380.32,4
Pre-Owned,Portable air compressor,200625,500157,300783,Air Compressor,954.68,18
Used - Acceptable,Premium hot sauce collection,200641,500126,300784,Hot Sauce Collection,876.78,19
Pre-Owned,Durable bike repair kit,200615,500282,300785,Bike Repair Kit,1193.13,15
Used - Good,Modern digital picture frame,200595,500286,300786,Digital Picture Frame,2048.19,11
Refurbished,Waterproof dry bag,200269,500020,300787,Dry Bag,716.46,17
New,High-speed travel charger,200459,500147,300788,Travel Charger,1013.60,5
New,Minimalist bedside organizer,200374,500124,300789,Bedside Organizer,2995.29,1
Certified Refurbished,Lightweight portable canopy,200604,500261,300790,Portable Canopy,80.38,9
New,Adjustable storage shelving,200426,500082,300791,Storage Shelving,272.18,1
Used - Acceptable,Eco-friendly glass water bottle,200307,500163,300792,Glass Water Bottle,2634.55,4
New,Sophisticated cocktail mixer,200381,500149,300793,Cocktail Mixer,2460.98,13
Refurbished,Compact shoe rack,200278,500077,300794,Shoe Rack,501.83,19
Used - Very Good,Heavy-duty power washer,200240,500106,300795,Power Washer,1633.22,20
Used - Good,Durable garden kneeler,200576,500024,300796,Garden Kneeler,1438.48,17
Used - Like New,Stylish winter coat,200444,500045,300797,Winter Coat,133.99,16
Used - Like New,High-quality leather wallet,200646,500274,300798,Leather Wallet,2734.95,6
Used - Very Good,Durable hiking backpack,200054,500286,300799,Hiking Backpack,834.45,19
Certified Refurbished,Noise-cancelling headphones,200225,500043,300800,Noise-Cancelling Headphones,2001.14,13
Used - Like New,Soft cotton T-shirt,200147,500161,300801,Cotton T-Shirt,310.39,6
Used - Acceptable,Sleek stainless steel water bottle,200289,500261,300802,Stainless Steel Water Bottle,1410.00,10
Certified Refurbished,Compact Bluetooth speaker,200041,500148,300803,Bluetooth Speaker,441.19,7
Used - Acceptable,Lightweight travel suitcase,200240,500086,300804,Travel Suitcase,1777.58,10
Open Box,Premium organic coffee beans,200084,500150,300805,Organic Coffee Beans,1582.40,16
Certified Refurbished,Comfortable memory foam pillow,200692,500223,300806,Memory Foam Pillow,149.07,8
Used - Good,Stylish wooden sunglasses,200614,500112,300807,Wooden Sunglasses,807.65,10
Refurbished,Portable power bank,200442,500094,300808,Portable Power Bank,1787.46,8
Used - Very Good,Ultra-soft bath towel,200765,500246,300809,Bath Towel,2715.67,5
Used - Very Good,Elegant ceramic vase,200551,500036,300810,Ceramic Vase,1906.09,10
Used - Very Good,Adjustable laptop stand,200164,500180,300811,Laptop Stand,2158.72,17
Used - Very Good,Versatile chef’s knife,200193,500244,300812,Chef’s Knife,2875.75,13
Open Box,Compact digital camera,200426,500185,300813,Digital Camera,2093.75,4
Used - Very Good,Durable stainless steel frying pan,200760,500068,300814,Stainless Steel Frying Pan,300.56,4
New,Eco-friendly bamboo toothbrush,200044,500118,300815,Bamboo Toothbrush,44.36,16
Used - Acceptable,High-performance gaming mouse,200207,500120,300816,Gaming Mouse,1800.56,17
Certified Refurbished,Ergonomic office chair,200375,500243,300817,Office Chair,392.62,20
New,Luxurious silk bedsheets,200133,500158,300818,Silk Bedsheets,1882.65,13
Open Box,Heavy-duty toolbox,200473,500268,300819,Toolbox,2808.74,4
Refurbished,Rechargeable LED flashlight,200720,500142,300820,LED Flashlight,252.40,9
Used - Very Good,Modern minimalist watch,200462,500047,300821,Minimalist Watch,1129.08,8
Open Box,Wireless charging pad,200746,500288,300822,Wireless Charging Pad,446.60,2
Used - Like New,Durable yoga mat,200585,500279,300823,Yoga Mat,1608.85,15
Refurbished,Trendy canvas tote bag,200426,500205,300824,Canvas Tote Bag,2405.15,9
Used - Very Good,Waterproof fitness tracker,200185,500176,300825,Fitness Tracker,1809.11,5
Open Box,High-speed external hard drive,200584,500106,300826,External Hard Drive,1200.62,20
Used - Acceptable,Elegant wine decanter,200545,500034,300827,Wine Decanter,1010.19,1
Certified Refurbished,Advanced electric toothbrush,200343,500145,300828,Electric Toothbrush,200.88,2
Used - Acceptable,Energy-efficient LED bulb,200660,500155,300829,LED Bulb,822.67,6
Pre-Owned,Double-walled coffee mug,200468,500019,300830,Coffee Mug,403.04,18
Refurbished,Versatile air fryer,200142,500180,300831,Air Fryer,717.51,10
Pre-Owned,Adjustable dumbbells set,200284,500048,300832,Dumbbells,411.42,16
Used - Like New,Classic analog wristwatch,200579,500161,300833,Analog Watch,1271.72,12
New,Multi-functional survival knife,200103,500175,300834,Survival Knife,997.36,3
Used - Acceptable,Convenient portable grill,200041,500114,300835,Portable Grill,1458.07,17
New,Efficient vacuum cleaner,200033,500177,300836,Vacuum Cleaner,2150.17,17
Used - Like New,Compact first aid kit,200442,500232,300837,First Aid Kit,2305.16,7
Used - Acceptable,High-definition action camera,200156,500005,300838,Action Camera,1169.69,13
Used - Acceptable,Comfortable running shoes,200764,500095,300839,Running Shoes,887.80,15
Used - Acceptable,Foldable camping chair,200355,500206,300840,Camping Chair,1060.96,7
Used - Good,Noise-isolating earbuds,200659,500245,300841,Noise-Isolating Earbuds,723.39,8
Used - Acceptable,Advanced smartwatch,200783,500190,300842,Smartwatch,1396.69,9
Refurbished,Stylish leather journal,200758,500109,300843,Leather Journal,1041.47,10
Used - Very Good,Durable travel mug,200383,500182,300844,Travel Mug,2257.92,16
Certified Refurbished,Soft plush throw blanket,200738,500187,300845,Plush Throw Blanket,1095.93,17
Used - Like New,Elegant crystal chandelier,200736,500191,300846,Crystal Chandelier,2842.19,2
Open Box,Portable car jump starter,200670,500226,300847,Car Jump Starter,2156.82,17
Pre-Owned,Heavy-duty garden hose,200348,500176,300848,Garden Hose,1098.26,13
Pre-Owned,Adjustable desk lamp,200321,500201,300849,Desk Lamp,2784.58,9
Used - Like New,Sophisticated perfume set,200212,500293,300850,Perfume Set,1585.02,11
Used - Very Good,Waterproof phone case,200770,500080,300851,Phone Case,2485.29,16
New,Ergonomic bike seat,200279,500106,300852,Bike Seat,396.87,15
Used - Very Good,Minimalist wall clock,200076,500032,300853,Wall Clock,855.36,8
New,Anti-theft laptop backpack,200672,500222,300854,Laptop Backpack,1540.52,8
Used - Very Good,Precision kitchen scale,200694,500086,300855,Kitchen Scale,1508.08,13
New,Premium wireless earbuds,200063,500212,300856,Wireless Earbuds,2115.30,4
Certified Refurbished,High-speed blender,200328,500037,300857,Blender,2062.21,15
Used - Good,Versatile toolset,200413,500277,300858,Toolset,1781.33,9
Used - Acceptable,Multi-purpose folding table,200202,500122,300859,Folding Table,2957.66,9
New,Adjustable standing desk,200200,500030,300860,Standing Desk,1126.31,6
Open Box,Compact sewing machine,200521,500205,300861,Sewing Machine,2468.89,10
Used - Acceptable,Advanced hair straightener,200660,500103,300862,Hair Straightener,1652.84,16
New,Multi-functional printer,200598,500247,300863,Printer,2940.10,5
Used - Good,Rechargeable hand warmer,200791,500229,300864,Hand Warmer,614.71,3
Certified Refurbished,Collapsible pet carrier,200592,500277,300865,Pet Carrier,2950.87,1
Refurbished,Digital kitchen timer,200376,500030,300866,Kitchen Timer,1390.04,4
Used - Like New,Stainless steel kitchen tongs,200172,500053,300867,Kitchen Tongs,907.03,15
Used - Like New,Lightweight sleeping bag,200352,500210,300868,Sleeping Bag,1122.15,15
New,Premium cast iron skillet,200541,500132,300869,Cast Iron Skillet,2056.61,14
Used - Very Good,Durable cargo pants,200673,500052,300870,Cargo Pants,1316.50,11
Used - Good,Luxurious bathrobe,200794,500134,300871,Bathrobe,1656.89,20
Used - Acceptable,Travel-sized toiletries kit,200041,500089,300872,Toiletries Kit,2805.36,20
Used - Like New,Heavy-duty bike lock,200748,500288,300873,Bike Lock,2494.23,17
Refurbished,Portable camping stove,200359,500170,300874,Camping Stove,1350.40,1
Pre-Owned,Advanced car vacuum cleaner,200211,500015,300875,Car Vacuum,273.23,19
Used - Acceptable,Compact coffee grinder,200011,500204,300876,Coffee Grinder,2179.96,7
Used - Good,Elegant tea set,200743,500177,300877,Tea Set,2156.39,18
Certified Refurbished,Modern smartphone stand,200210,500094,300878,Smartphone Stand,270.11,20
Certified Refurbished,Reusable food storage bags,200715,500040,300879,Food Storage Bags,1139.27,10
Used - Good,Premium quality umbrella,200652,500043,300880,Umbrella,324.66,4
Pre-Owned,Ultra-light hiking tent,200531,500195,300881,Hiking Tent,1870.02,15
Used - Acceptable,Stylish beach hat,200058,500008,300882,Beach Hat,2987.10,6
Certified Refurbished,Durable work gloves,200660,500292,300883,Work Gloves,2674.04,15
Used - Very Good,Advanced video doorbell,200552,500168,300884,Video Doorbell,1981.08,15
Used - Good,Space-saving shoe organizer,200765,500225,300885,Shoe Organizer,2928.22,4
New,Portable electric kettle,200250,500043,300886,Electric Kettle,2675.14,5
Used - Acceptable,Soft sherpa fleece blanket,200651,500222,300887,Sherpa Fleece Blanket,2801.67,12
Used - Like New,Sophisticated whiskey glasses,200703,500275,300888,Whiskey Glasses,1326.74,11
New,Eco-friendly reusable straws,200463,500044,300889,Reusable Straws,544.83,9
New,Lightweight portable hammock,200263,500090,300890,Portable Hammock,2983.22,6
Pre-Owned,Minimalist desk organizer,200419,500022,300891,Desk Organizer,1357.26,19
Open Box,Advanced robotic vacuum,200322,500165,300892,Robotic Vacuum,351.59,17
Used - Good,Sturdy wall-mounted shelf,200748,500216,300893,Wall Shelf,2546.90,12
Pre-Owned,Portable projector,200739,500298,300894,Portable Projector,1519.87,5
Open Box,Soft travel neck pillow,200414,500114,300895,Travel Neck Pillow,224.56,19
Used - Good,Foldable picnic blanket,200294,500075,300896,Picnic Blanket,1980.89,15
Used - Acceptable,Digital meat thermometer,200240,500156,300897,Meat Thermometer,2760.01,5
Pre-Owned,Rechargeable book light,200483,500021,300898,Book Light,2347.79,17
New,Elegant leather handbag,200385,500222,300899,Leather Handbag,13.28,13
